Full Name,House Number,Mobile Number,Gender,Family Members Count,Drinking Water Available,Electricity Available,Toilet Available,Biggest Problem,Suggested Solution
Sanjay Jagtap,H-131,,Male,8,Yes,Yes,Yes,Drainage,Clean drainage
Aarti Jagtap,H-132,9193149190,Female,4,No,No,Yes,Water,New borewell
Prakash Pawar,H-133,9262849877,Male,5,No,Yes,Yes,Other,Needs attention
Sneha Shinde,H-134,9507527354,Female,4,No,No,No,Electricity,Improve power supply
Amit Jagtap,H-135,9777014363,Male,4,No,Yes,No,Drainage,Clean drainage
Rohan Jagtap,H-136,9313518233,Male,7,No,Yes,No,Drainage,Clean drainage
Ajay Jagtap,H-137,9240824008,Male,4,Yes,No,Yes,Water,New borewell
Sunil Jagtap,H-138,9711671902,Male,3,No,Yes,Yes,Water,New borewell
Anil Pawar,H-139,9749649909,Male,7,Yes,Yes,,Road,Repair roads
Nitin Pawar,H-140,9974034471,Male,7,Yes,Yes,No,Drainage,Clean drainage
Kavita Jagtap,H-141,9210249947,Female,2,No,No,Yes,Street Light,Install street lights
Anita Pawar,H-142,9594013990,Female,8,No,No,Yes,Other,Needs attention
Deepak Pawar,H-143,9717565512,Male,4,No,,Yes,Electricity,
Rahul Jagtap,H-144,9168087603,Male,6,No,No,,Street Light,Install street lights
Anita Kadam,H-145,9109324808,Female,5,Yes,Yes,Yes,Garbage,Regular garbage collection
Aarti Jagtap,H-146,9677378263,Female,6,Yes,Yes,Yes,Other,Needs attention
Rohan Jagtap,H-147,9997278755,Male,6,No,Yes,Yes,Other,Needs attention
Sunil Jagtap,H-148,9766270289,Male,4,Yes,Yes,,Drainage,Clean drainage
Ramesh Kadam,H-149,,Male,7,No,No,Yes,Drainage,Clean drainage
Nitin Jagtap,H-150,9172400504,Male,4,No,Yes,Yes,Road,
Lata Shinde,H-151,9937923747,Female,4,Yes,Yes,,Street Light,Install street lights
Nitin Jagtap,H-152,9743671369,Male,4,No,No,Yes,Water,New borewell
Vaishnavi Jagtap,H-153,9974395339,Female,4,Yes,No,Yes,Street Light,Install street lights
Ramesh Jagtap,H-154,9562328588,Male,4,Yes,Yes,Yes,Other,
Priya Jagtap,H-155,9685160481,Female,5,No,No,No,Street Light,Install street lights
Sanjay Jagtap,H-156,9985931746,Male,2,Yes,Yes,Yes,Electricity,Improve power supply
Prakash Patil,H-157,9692617964,Male,2,No,Yes,Yes,Garbage,Regular garbage collection
Pooja Jagtap,H-158,9064317139,Female,2,Yes,Yes,Yes,Road,Repair roads
Savita Jagtap,H-159,,Female,8,Yes,Yes,,Other,Needs attention
Ganesh Jagtap,H-160,9026811775,Male,6,Yes,Yes,,Road,Repair roads
Kiran Jagtap,H-161,9076617711,Male,4,Yes,Yes,Yes,Electricity,Improve power supply
Rohan Pawar,H-162,9896118367,Male,3,No,Yes,,Garbage,Regular garbage collection
Mahesh Kadam,H-163,9111161528,Male,2,No,No,Yes,Garbage,Regular garbage collection
Rohan Jagtap,H-164,9519832731,Male,4,No,Yes,Yes,Drainage,Clean drainage
Sneha Chavan,H-165,9094024455,Female,2,Yes,,No,Street Light,Install street lights
Vijay Shinde,H-166,9675254599,Male,2,Yes,Yes,Yes,Other,Needs attention
Kiran Shinde,H-167,9438156149,Male,5,No,Yes,,Garbage,Regular garbage collection
Priya Jagtap,H-168,9451076226,Female,6,Yes,No,No,Other,Needs attention
Kiran Jagtap,H-169,9596966416,Male,2,No,Yes,No,Garbage,Regular garbage collection
Deepak Shinde,H-170,9816453521,Male,6,Yes,No,No,Road,Repair roads
Ajay Jagtap,H-171,9243292127,Male,5,No,No,No,Street Light,Install street lights
Ramesh Kadam,H-172,9744905814,Male,5,No,Yes,,Electricity,Improve power supply
Sachin Shinde,H-173,9798079359,Male,5,Yes,Yes,Yes,Water,New borewell
